index,y_pred
1189,0.09666666666666666
336,0.1
507,0.9640000000000001
434,0.025
1350,1.0
1236,0.026666666666666665
1425,0.10116666666666665
909,0.17
1274,0.005
1033,0.06264285714285714
935,0.018333333333333333
1197,0.06
1029,0.78
508,0.5313333333333332
1037,0.22
612,0.04
958,0.3433333333333334
700,0.33
398,0.20517857142857143
226,0.0
332,1.0
761,0.12
66,0.13
995,0.5193333333333333
793,0.37
473,0.99
1354,0.59
1271,0.12
321,0.5066666666666667
1185,0.11166666666666666
1228,0.122
377,0.23883333333333334
1087,1.0
940,0.069
241,0.7
902,0.685
167,0.02
1241,0.10720235320235323
1459,0.04
807,0.9016666666666666
1335,0.96
1020,0.622
260,0.15786507936507937
1326,0.0
691,0.76
1027,0.25663888888888875
1121,0.5101666666666668
7,0.83
933,0.035
353,0.71
247,0.17
636,0.018333333333333333
847,0.17
365,0.08
67,0.0025
1084,0.19499999999999995
114,0.05
254,0.01
1414,0.08380952380952379
1388,0.122
197,0.04
539,0.725
562,0.5181796536796537
661,0.03
1026,0.018666666666666665
674,0.24194444444444443
1133,0.86
724,0.028000000000000004
417,0.20166666666666663
942,0.005
404,0.0
229,0.07
652,0.14278571428571427
1191,0.25663888888888875
468,0.09
514,1.0
62,0.74
269,0.02
1158,0.88
195,0.03
48,0.04833333333333333
983,0.07
1174,0.06
213,0.09
731,0.16166666666666668
449,0.99
1369,0.05616666666666666
1401,0.03
689,0.9
1218,0.11
244,0.96
532,0.87
773,0.99
320,0.29
462,0.5181796536796537
1086,0.06
1445,0.6416666666666666
1352,0.06
594,0.08333333333333331
359,0.03
1431,0.5100912698412698
1473,0.26516666666666666
806,0.095
1226,0.0
571,0.25663888888888875
1214,0.48583333333333334
1242,0.14887301587301588
1332,0.18477594627594623
471,0.06333333333333332
814,0.131
409,0.46
295,0.25
451,0.03783333333333334
1225,0.8638333333333335
99,1.0
1097,0.07128571428571429
1170,0.9733333333333333
112,0.97
129,0.0
672,0.083
785,0.5201666666666668
1270,0.13155555555555554
397,0.36683333333333346
855,0.049
710,1.0
1034,0.0
1306,1.0
218,0.04
1477,0.32
137,0.14666666666666667
132,0.99
559,0.25663888888888875
573,0.0
1411,0.28
305,0.622
1094,0.003333333333333333
1015,0.02
852,0.0
1124,0.20666666666666664
1138,0.35
1429,0.91
1212,1.0
1246,0.1775
452,0.5566666666666668
1281,0.99
1161,0.0
1338,0.09
1460,0.5325
1193,0.0225
298,0.3342857142857143
395,0.65
717,0.045
915,0.98
347,0.25
284,0.5135714285714285
1073,0.013333333333333332
1114,0.9
1409,0.91
1051,0.08166666666666668
393,0.02333333333333333
456,0.99
788,1.0
308,1.0
609,0.05916666666666667
1302,0.0
1437,0.17243290043290047
833,0.84
144,0.04
364,0.6573333333333332
729,0.1
437,0.03
113,0.06
601,0.01926190476190476
1032,0.2118690476190476
246,0.05666666666666667
824,0.03
1182,0.258690476190476
438,0.2
1337,0.2
1422,0.14
732,1.0
529,0.25666666666666665
1328,0.6675
857,0.59
1237,0.0
678,0.0
1013,0.52
410,0.0815
649,0.99
82,0.02333333333333333
1468,0.9189999999999999
1163,0.9266666666666667
925,0.5677142857142856
421,0.03
1078,0.9733333333333333
296,0.85
875,0.4611666666666667
64,0.027999999999999997
1111,0.81
13,0.4420000000000001
975,0.25
463,0.6573333333333332
932,0.3983333333333334
380,0.54
1416,1.0
415,0.46
376,0.5313333333333332
214,0.47
1215,0.36683333333333346
219,0.695
1364,0.15786507936507937
74,0.98
1452,0.07
1123,0.66
49,0.99
91,0.04
622,0.27
640,1.0
809,0.07
304,0.28
1166,0.6650714285714284
772,0.35
756,0.91
1081,0.7340000000000001
1195,0.0
823,1.0
1201,1.0
856,0.43
1149,0.09866666666666665
1419,0.0
900,0.5906666666666667
1318,0.91
127,0.05
251,0.27
780,0.02
424,0.13566666666666666
97,0.31
1046,0.06
256,0.0
1456,0.035
1240,0.05178571428571429
349,0.9
748,0.0
1217,0.02
631,0.32
1432,0.96
1484,0.0
215,0.66
423,0.0
1282,0.049
324,0.71
189,0.11566666666666667
1261,0.7666666666666666
10,0.11
147,0.06
1322,0.23
1487,0.035
1291,0.98
907,0.083
1300,0.09
394,0.19
827,0.26
2,0.99
495,0.69
605,0.165
1186,0.026666666666666665
1273,0.11
589,0.31966666666666665
904,0.6066666666666667
1117,1.0
316,1.0
591,0.17
540,0.8383333333333334
1132,1.0
248,0.24
459,0.18666666666666665
734,0.15057142857142858
278,0.15666666666666665
301,0.122
1379,0.48590476190476173
87,1.0
1360,0.35
231,0.98
955,0.19
749,0.0
880,0.06
131,0.99
1345,0.18
1,0.15057142857142858
1102,0.24066666666666664
699,0.0
770,0.07933333333333334
163,0.22833333333333336
1137,0.22999999999999995
656,0.9733333333333333
340,0.3
310,0.085
1449,0.54
